               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12179,            0.032426,            0.029859,          0.00069702,                 0.2,          0.00060008,          0.00016899,            0.094468,            0.020206,            0.020636,              0.0964,              0.0004,              0.0004
                   1,             0.12174,            0.031824,            0.030505,           0.0012593,                 0.4,            0.001697,          0.00058002,            0.090423,            0.018391,            0.019446,            0.091893,          0.00089258,          0.00089258
                   2,             0.10985,            0.033253,            0.030964,           0.0030612,                 0.9,            0.021508,           0.0049571,            0.080764,             0.01575,            0.017981,            0.087377,           0.0013769,           0.0013769
                   3,            0.096316,            0.035269,            0.030237,           0.0033937,                   1,            0.082978,            0.024326,            0.063062,            0.016777,            0.016626,            0.082853,            0.001853,            0.001853
                   4,            0.089585,            0.036128,             0.02695,           0.0024812,                 0.7,             0.11429,            0.014845,            0.054791,            0.014662,            0.017676,            0.078321,           0.0023208,           0.0023208
                   5,            0.085431,            0.034065,            0.027629,           0.0031574,                 0.9,            0.085524,            0.021772,            0.046251,            0.014136,            0.015973,             0.07378,           0.0027804,           0.0027804
                   6,            0.080193,            0.033496,             0.02602,            0.003129,                 0.9,            0.064819,            0.031091,            0.038406,            0.013134,            0.015582,            0.069232,           0.0032317,           0.0032317
                   7,            0.086222,            0.033333,            0.027834,             0.02661,                 0.3,             0.13674,            0.074366,            0.048982,             0.01356,            0.015457,            0.064675,           0.0036748,           0.0036748
                   8,            0.078812,            0.032257,            0.024295,             0.26186,                 0.1,             0.12911,            0.032671,            0.040489,            0.012711,            0.015845,             0.06011,           0.0041096,           0.0041096
                   9,            0.075542,            0.028697,            0.024131,             0.59523,                 0.1,             0.16958,            0.070204,            0.055031,            0.011639,            0.017712,            0.055536,           0.0045362,           0.0045362
                  10,             0.07141,            0.030837,            0.023599,             0.59589,                 0.1,              0.1458,            0.055432,            0.053153,            0.011587,            0.018207,            0.050955,           0.0049545,           0.0049545
                  11,            0.069523,            0.028284,            0.024739,             0.89325,                 0.1,             0.16448,            0.077092,            0.045281,            0.011869,            0.015765,            0.046365,           0.0053646,           0.0053646
                  12,            0.070095,            0.028547,            0.024427,             0.23669,                 0.4,              0.2356,             0.11013,            0.038973,            0.011695,            0.015399,            0.041766,           0.0057664,           0.0057664
                  13,            0.069008,             0.02848,            0.020859,             0.85524,                 0.1,              0.2068,            0.083398,            0.035449,            0.011341,            0.015411,             0.03716,             0.00616,             0.00616
                  14,            0.072214,            0.029252,            0.025909,             0.20791,                 0.2,             0.13055,            0.040078,             0.03632,            0.012552,            0.015509,            0.032545,           0.0065453,           0.0065453
                  15,            0.063914,            0.027592,            0.025041,             0.65729,                 0.2,             0.20128,            0.066704,            0.031835,            0.011753,             0.01499,            0.027922,           0.0069224,           0.0069224
