               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.053575,            0.027018,           0.0086218,             0.40968,             0.28261,             0.34259,             0.13145,            0.031357,           0.0060925,            0.024628,            0.004225,            0.004225,            0.004225
                  37,            0.053641,            0.023839,           0.0097283,             0.27825,             0.36316,             0.33585,             0.17548,            0.031695,           0.0061495,            0.018066,             0.00406,             0.00406,             0.00406
                  38,            0.054618,            0.026892,           0.0091441,             0.56773,             0.28119,             0.36152,             0.18707,            0.031818,           0.0059977,            0.014627,            0.003895,            0.003895,            0.003895
                  39,            0.050549,            0.024067,            0.011468,              0.9083,                 0.3,             0.57185,             0.27531,            0.026339,           0.0055935,            0.006723,             0.00373,             0.00373,             0.00373
                  40,            0.048275,            0.024004,            0.010161,             0.42814,                 0.5,             0.52093,              0.2824,            0.024457,           0.0055304,            0.007962,            0.003565,            0.003565,            0.003565
                  41,            0.043551,            0.023623,           0.0067967,             0.43441,                 0.5,             0.51712,             0.28489,            0.026033,           0.0055597,           0.0075806,              0.0034,              0.0034,              0.0034
                  42,            0.053139,            0.024685,           0.0089425,              0.5053,             0.47204,             0.53346,              0.3115,            0.025721,           0.0054271,           0.0076019,            0.003235,            0.003235,            0.003235
                  43,            0.050298,            0.025352,           0.0071353,              0.4998,                 0.5,             0.53232,             0.29667,            0.025888,           0.0051415,           0.0066284,             0.00307,             0.00307,             0.00307
                  44,            0.053536,            0.021857,           0.0064681,             0.83226,             0.49197,             0.60953,             0.32934,            0.022089,           0.0053997,            0.006015,            0.002905,            0.002905,            0.002905
                  45,            0.048798,            0.024259,           0.0086121,             0.84044,                 0.6,             0.67516,             0.39892,            0.024787,           0.0051045,           0.0056946,             0.00274,             0.00274,             0.00274
                  46,            0.045195,            0.023603,           0.0062066,             0.76167,                 0.6,             0.70333,             0.35462,            0.026052,           0.0048542,           0.0054993,            0.002575,            0.002575,            0.002575
                  47,            0.049063,            0.024142,           0.0054521,              0.9243,                 0.6,             0.76881,             0.40655,            0.023574,           0.0047226,           0.0050751,             0.00241,             0.00241,             0.00241
                  48,            0.043907,            0.022062,            0.007383,             0.93481,                 0.6,             0.83548,             0.49716,            0.021204,           0.0045898,           0.0056587,            0.002245,            0.002245,            0.002245
                  49,            0.044946,            0.022105,            0.005248,             0.96928,             0.65511,             0.83726,             0.49805,            0.019821,           0.0047135,           0.0071861,             0.00208,             0.00208,             0.00208
                  50,            0.046608,            0.022076,           0.0058952,                   1,             0.64752,             0.83234,             0.50038,             0.02098,           0.0047855,            0.009127,            0.001915,            0.001915,            0.001915
                  51,            0.045631,            0.022057,            0.007433,                   1,             0.68466,             0.82464,             0.52467,            0.020558,           0.0046573,           0.0086288,             0.00175,             0.00175,             0.00175
                  52,            0.046335,            0.024177,           0.0059154,             0.99633,             0.69154,             0.82627,             0.44046,             0.02201,           0.0045931,           0.0081146,            0.001585,            0.001585,            0.001585
                  53,            0.048127,            0.022194,           0.0065752,              0.8296,             0.77718,             0.83351,             0.50345,             0.02117,           0.0045757,           0.0068703,             0.00142,             0.00142,             0.00142
                  54,            0.045841,            0.022311,           0.0058798,             0.99212,             0.68678,             0.82403,             0.47214,            0.020725,           0.0045695,           0.0066429,            0.001255,            0.001255,            0.001255
                  55,            0.043959,            0.022689,           0.0049641,             0.93951,             0.58408,             0.72195,             0.43132,            0.021246,           0.0047314,            0.004805,             0.00109,             0.00109,             0.00109
                  56,            0.042826,             0.02163,           0.0057726,             0.84323,             0.67442,             0.76708,             0.42795,            0.022332,           0.0048592,           0.0048683,            0.000925,            0.000925,            0.000925
                  57,            0.039297,            0.019593,           0.0043269,             0.82663,             0.67769,             0.75473,             0.44084,            0.022712,           0.0049922,           0.0045425,             0.00076,             0.00076,             0.00076
                  58,            0.040644,            0.023987,           0.0048505,             0.82627,             0.67843,             0.77032,             0.45315,            0.022883,           0.0049818,           0.0042984,            0.000595,            0.000595,            0.000595
                  59,            0.045044,             0.02264,           0.0084511,               0.813,             0.59596,             0.71599,             0.43517,            0.023334,           0.0048385,           0.0036224,             0.00043,             0.00043,             0.00043
